bowler,bowling Hand,bowling Type
HH Gibbs,Right Handed,Right Arm Fast Medium
YA Abdulla,Left Handed,Left Arm Fast Medium
STR Binny,Right Handed,Right Arm Medium
A Flintoff,Right Handed,Right Arm Fast
DJM Short,Left Handed,Left Arm Orthodox
Shakib Al Hasan,Left Handed,Left Arm Orthodox/Left Arm Medium Fast
Harpreet Singh,Left Handed,Right Arm Medium
JH Kallis,Right Handed,Right Arm Fast Medium
Gagandeep Singh,Right Handed,Right Arm Fast Medium
PP Shaw,Right Handed,Right Arm Off Break
WD Parnell,Left Handed,Left Arm Medium Fast
F du Plessis,Right Handed,Right Arm Leg Break
AD Mascarenhas,Right Handed,Right Arm Fast Medium
V Pratap Singh,Right Handed,Right Arm Medium
KA Pollard,Right Handed,Right Arm Medium
SS Shaikh,Right Handed,Right Arm Medium
DJ Hooda,Right Handed,Right Arm Off Break
ER Dwivedi,Right Handed,
Niraj Patel,Left Handed,
RJ Peterson,Left Handed,Left Arm Orthodox
SC Kuggeleijn,Right Handed,Right Arm Fast Medium
S Sandeep Warrier,Right Handed,Right Arm Medium
DAJ Bracewell,Right Handed,Right Arm Medium
MC Juneja,Right Handed,Right Arm Off Break
KL Nagarkoti,Right Handed,Right Arm Fast
CK Kapugedera,Right Handed,Right Arm Medium
KL Rahul,Right Handed,
L Ronchi,Right Handed,
K Gowtham,Right Handed,Right Arm Off Break
JL Denly,Right Handed,Right Arm Leg Break
SD Chitnis,Right Handed,Right Arm Off Break
S Vidyut,Left Handed,Left Arm Orthodox
H Klaasen,Right Handed,
RG More,Right Handed,Right Arm Medium
KAJ Roach,Right Handed,Right Arm Fast Medium
R Vinay Kumar,Right Handed,Right Arm Medium
BJ Hodge,Right Handed,Right Arm Off Break
D Kalyankrishna,Right Handed,Right Arm Fast Medium
RS Sodhi,Right Handed,Right Arm Medium
PC Valthaty,Right Handed,Right Arm Medium
Mohammed Shami,Right Handed,Right Arm Fast
Younis Khan,Right Handed,Right Arm Leg Break
SE Rutherford,Left Handed,Right Arm Fast Medium
DJ Jacobs,Right Handed,Right Arm Medium
PJ Cummins,Right Handed,Right Arm Fast
K Upadhyay,Right Handed,Right Arm Medium
YV Takawale,Right Handed,
AD Hales,Right Handed,Right Arm Medium
DA Miller,Left Handed,Right Arm Off Break
TK Curran,Right Handed,Right Arm Fast Medium
DPMD Jayawardene,Right Handed,Right Arm Medium
SM Harwood,Right Handed,Right Arm Fast Medium
AC Voges,Right Handed,Left Arm Orthodox
Kuldeep Yadav,Left Handed,Left Arm Chinaman (Googly)
A Chandila,Right Handed,Right Arm Off Break
SC Ganguly,Left Handed,Right Arm Medium
Mustafizur Rahman,Left Handed,Left Arm Medium
KW Richardson,Right Handed,Right Arm Fast Medium
P Sahu,Right Handed,Right Arm Leg Break
Shahbaz Ahmed,Left Handed,Left Arm Orthodox
R Tewatia,Left Handed,Right Arm Leg Break
SB Wagh,Left Handed,Left Arm Fast Medium
AS Rajpoot,Right Handed,Right Arm Medium
B Stanlake,Left Handed,Right Arm Fast
TP Sudhindra,Left Handed,Right Arm Fast
VS Yeligati,Right Handed,Right Arm Off Break
A Dananjaya,Left Handed,Right Arm Off Break
KP Appanna,Right Handed,Left Arm Orthodox
RN ten Doeschate,Right Handed,Right Arm Medium Fast
Q de Kock,Left Handed,
AA Kazi,Left Handed,Left Arm Orthodox
S Chanderpaul,Left Handed,Right Arm Leg Break
S Dube,Left Handed,Right Arm Medium
PP Ojha,Left Handed,Left Arm Orthodox
CH Gayle,Left Handed,Right Arm Off Break
AJ Turner,Right Handed,Right Arm Off Break
Abdul Samad,Right Handed,Right Arm Leg Break
Anirudh Singh,Left Handed,Right Arm Medium
MA Starc,Left Handed,Left Arm Fast
P Dubey,Right Handed,Right Arm Leg Break
SR Watson,Right Handed,Right Arm Fast Medium
D Wiese,Right Handed,Right Arm Medium Fast
SP Fleming,Left Handed,Right Arm Medium
SPD Smith,Right Handed,Right Arm Leg Break
PJ Sangwan,Right Handed,Left Arm Medium
Arshdeep Singh,Left Handed,Right Arm Medium Fast
PR Shah,Right Handed,
M Klinger,Right Handed,
T Banton,Right Handed,
RV Gomez,Right Handed,Right Arm Medium
MJ Henry,Right Handed,Right Arm Fast Medium
MF Maharoof,Right Handed,Right Arm Fast Medium
CR Woakes,Right Handed,Right Arm Fast Medium
JE Taylor,Right Handed,Right Arm Fast
Misbah-ul-Haq,Right Handed,Right Arm Leg Break
GD McGrath,Right Handed,Right Arm Fast Medium
YS Chahal,Right Handed,Right Arm Leg Break
AA Noffke,Right Handed,Right Arm Fast Medium
NB Singh,Right Handed,Right Arm Medium
AT Rayudu,Right Handed,Right Arm Off Break
R Sathish,Right Handed,Right Arm Medium
S Randiv,Right Handed,Right Arm Off Break
RW Price,Right Handed,Left Arm Orthodox
BR Dunk,Left Handed,Right Arm Off Break
MJ McClenaghan,Left Handed,Left Arm Medium Fast
JR Philippe,Right Handed,
ND Doshi,Right Handed,Left Arm Orthodox
J Syed Mohammad,Left Handed,Left Arm Orthodox
Mohammad Ashraful,Right Handed,Right Arm Leg Break
AR Patel,Left Handed,Left Arm Orthodox
PD Collingwood,Right Handed,Right Arm Medium
JA Morkel,Left Handed,Right Arm Medium Fast
JW Hastings,Right Handed,Right Arm Fast Medium
SM Pollock,Right Handed,Right Arm Fast Medium
LJ Wright,Right Handed,Right Arm Medium
J Arunkumar,Right Handed,Right Arm Off Break
Harbhajan Singh,Right Handed,Right Arm Off Break
AC Thomas,Right Handed,Right Arm Fast Medium
VH Zol,Left Handed,Right Arm Off Break
RD Gaikwad,Right Handed,Right Arm Off Break
PV Tambe,Right Handed,Right Arm Leg Break
DB Das,Right Handed,Right Arm Leg Break
DJ Willey,Left Handed,Left Arm Fast Medium
DW Steyn,Right Handed,Right Arm Fast
JR Hazlewood,Left Handed,Right Arm Fast Medium
AL Menaria,Left Handed,Left Arm Orthodox
Sohail Tanvir,Left Handed,Left Arm Medium Fast
Y Nagar,Right Handed,Right Arm Off Break
KM Jadhav,Right Handed,Right Arm Off Break
SP Jackson,Right Handed,
SE Bond,Right Handed,Right Arm Fast Medium
LA Carseldine,Left Handed,Left Arm Medium
MM Ali,Left Handed,Right Arm Off Break
PP Chawla,Left Handed,Right Arm Leg Break
AS Raut,Right Handed,Right Arm Leg Break
L Ablish,Right Handed,Right Arm Fast Medium
CV Varun,Right Handed,Right Arm Leg Break
P Dogra,Right Handed,Right Arm Leg Break
T Thushara,Left Handed,Left Arm Fast Medium
NL McCullum,Right Handed,Right Arm Off Break
TG Southee,Right Handed,Right Arm Medium Fast
Salman Butt,Left Handed,
DP Nannes,Right Handed,Left Arm Fast Medium
RV Uthappa,Right Handed,Right Arm Medium
GJ Bailey,Right Handed,Right Arm Medium
MK Tiwary,Right Handed,Right Arm Leg Break
P Prasanth,Left Handed,Left Arm Orthodox
A Mukund,Left Handed,Right Arm Leg Break
Basil Thampi,Right Handed,Right Arm Medium
Rasikh Salam,Right Handed,Right Arm Medium
Yuvraj Singh,Left Handed,Left Arm Medium
P Negi,Left Handed,Left Arm Orthodox
MN Samuels,Right Handed,Right Arm Off Break
AP Dole,Right Handed,Right Arm Fast Medium
Ankit Sharma,Left Handed,Left Arm Orthodox
S Sreesanth,Right Handed,Right Arm Medium
GC Viljoen,Right Handed,Right Arm Fast
JJ van der Wath,Right Handed,Right Arm Fast
N Jagadeesan,Right Handed,
SS Mundhe,Right Handed,Right Arm Medium
VY Mahesh,Right Handed,Right Arm Fast Medium
K Goel,Left Handed,Right Arm Off Break
SP Goswami,Left Handed,
Abhishek Sharma,Left Handed,Left Arm Orthodox
NLTC Perera,Left Handed,Right Arm Medium Fast
L Ngidi,Right Handed,Right Arm Fast
BB McCullum,Right Handed,
SS Tiwary,Left Handed,
A Nehra,Right Handed,Left Arm Fast Medium
CRD Fernando,Right Handed,Right Arm Fast Medium
RR Sarwan,Right Handed,Right Arm Leg Break
VS Malik,Right Handed,Right Arm Medium
CR Brathwaite,Right Handed,Right Arm Fast Medium
SK Trivedi,Right Handed,Right Arm Medium
IK Pathan,Left Handed,Left Arm Medium Fast
JC Buttler,Right Handed,
SB Joshi,Left Handed,Left Arm Orthodox
Yashpal Singh,Right Handed,Right Arm Medium
Kamran Akmal,Right Handed,
Umar Gul,Right Handed,Right Arm Fast Medium
B Chipli,Right Handed,Right Arm Medium
Abdur Razzak,Right Handed,Left Arm Orthodox
MG Johnson,Left Handed,Left Arm Fast Medium
DJ Hussey,Right Handed,Right Arm Off Break
AC Gilchrist,Left Handed,
SL Malinga,Right Handed,Right Arm Fast Medium
NM Coulter-Nile,Right Handed,Right Arm Fast
LA Pomersbach,Right Handed,Right Arm Medium Fast
JJ Bumrah,Right Handed,Right Arm Fast
DL Chahar,Right Handed,Right Arm Medium
UBT Chand,Right Handed,Right Arm Off Break
KK Ahmed,Right Handed,Left Arm Medium
TA Boult,Right Handed,Left Arm Fast Medium
TD Paine,Right Handed,Right Arm Medium
SN Khan,Right Handed,Right Arm Off Break
DT Christian,Right Handed,Right Arm Fast Medium
Kartik Tyagi,Right Handed,Right Arm Medium Fast
Pankaj Singh,Right Handed,Right Arm Medium Fast
PA Reddy,Right Handed,Right Arm Leg Break
AB Agarkar,Right Handed,Right Arm Fast Medium
LR Shukla,Right Handed,Right Arm Medium
SA Asnodkar,Right Handed,Right Arm Off Break
GR Napier,Right Handed,Right Arm Medium
CA Lynn,Right Handed,Left Arm Orthodox
NJ Maddinson,Left Handed,Left Arm Orthodox
Y Gnaneswara Rao,Right Handed,Right Arm Medium
BW Hilfenhaus,Right Handed,Right Arm Fast Medium
WA Mota,Right Handed,Right Arm Medium
LPC Silva,Right Handed,Right Arm Leg Break
DH Yagnik,Left Handed,
Harpreet Brar,Left Handed,Left Arm Orthodox
AA Bilakhia,Right Handed,Right Arm Medium
S Badrinath,Right Handed,Right Arm Off Break
JC Archer,Right Handed,Right Arm Fast
P Awana,Right Handed,Right Arm Medium
S Anirudha,Right Handed,
M Ntini,Right Handed,Right Arm Fast
C Munro,Left Handed,Right Arm Medium Fast
T Taibu,Right Handed,Right Arm Off Break
RA Tripathi,Right Handed,Right Arm Medium
AM Nayar,Left Handed,Right Arm Medium
DL Vettori,Left Handed,Left Arm Orthodox
CA Ingram,Left Handed,
DB Ravi Teja,Right Handed,Right Arm Leg Break
AM Salvi,Right Handed,Right Arm Medium
S Narwal,Left Handed,Right Arm Medium
M Prasidh Krishna,Right Handed,Right Arm Medium Fast
Anureet Singh,Right Handed,Right Arm Medium
JR Hopes,Right Handed,Right Arm Medium
MD Mishra,Right Handed,Right Arm Off Break
MS Wade,Left Handed,
SB Styris,Right Handed,Right Arm Fast Medium
RJ Harris,Right Handed,Right Arm Fast Medium
AR Bawne,Right Handed,Right Arm Off Break
SW Billings,Right Handed,
Shahid Afridi,Right Handed,Right Arm Leg Break
